,id,league_name,season,HomeGoals,AwayGoals
271,2380,England Premier League,2009/2010,0,0
272,2381,England Premier League,2009/2010,0,0
273,2382,England Premier League,2009/2010,2,1
274,2383,England Premier League,2009/2010,5,1
275,2384,England Premier League,2009/2010,0,0
276,2385,England Premier League,2009/2010,1,4
277,2386,England Premier League,2009/2010,1,0
278,2387,England Premier League,2009/2010,0,0
279,2388,England Premier League,2009/2010,2,2
280,2389,England Premier League,2009/2010,3,2
281,2390,England Premier League,2009/2010,2,1
282,2391,England Premier League,2009/2010,2,1
283,2392,England Premier League,2009/2010,1,2
284,2393,England Premier League,2009/2010,1,2
285,2394,England Premier League,2009/2010,3,0
286,2395,England Premier League,2009/2010,0,0
287,2396,England Premier League,2009/2010,2,3
288,2397,England Premier League,2009/2010,0,0
289,2398,England Premier League,2009/2010,0,1
290,2399,England Premier League,2009/2010,2,1
291,2400,England Premier League,2009/2010,0,1
292,2401,England Premier League,2009/2010,1,1
293,2402,England Premier League,2009/2010,3,2
294,2403,England Premier League,2009/2010,3,1
295,2404,England Premier League,2009/2010,7,0
296,2405,England Premier League,2009/2010,0,4
297,2406,England Premier League,2009/2010,2,2
298,2407,England Premier League,2009/2010,1,0
299,2408,England Premier League,2009/2010,0,0
300,2409,England Premier League,2009/2010,2,2
301,2410,England Premier League,2009/2010,1,0
302,2411,England Premier League,2009/2010,0,1
303,2412,England Premier League,2009/2010,0,0
304,2413,England Premier League,2009/2010,3,1
305,2414,England Premier League,2009/2010,3,1
306,2415,England Premier League,2009/2010,2,1
307,2416,England Premier League,2009/2010,2,1
308,2417,England Premier League,2009/2010,3,2
309,2418,England Premier League,2009/2010,0,2
310,2419,England Premier League,2009/2010,2,1
311,2420,England Premier League,2009/2010,1,0
312,2421,England Premier League,2009/2010,8,0
313,2422,England Premier League,2009/2010,4,2
314,2423,England Premier League,2009/2010,2,1
315,2424,England Premier League,2009/2010,0,1
316,2425,England Premier League,2009/2010,4,0
317,2426,England Premier League,2009/2010,4,0
318,2427,England Premier League,2009/2010,1,1
319,2428,England Premier League,2009/2010,0,0
320,2429,England Premier League,2009/2010,2,1
321,2430,England Premier League,2009/2010,2,1
